# This is a comment
# Comments are very important in programming
# They are used to explain what code or data is for
# Don't delete them, instead your code should be able to handle them

17,75,76,35,43,25,47,43,31,9,38,42,14,94,93,92,93,59,28,1
61,6,55,46,12,99,73,25,48,84,74,51,57,4,90,28,17,20,14,44
19,63,83,57,29,17,68,59,50,84,41,23,95,67,19,13,11,29,50,45
23,31,70,27,0,63,26,66,1,52,81,49,57,30,12,76,37,71,69,79
93,75,11,89,21,44,13,72,13,68,20,57,48,10,11,57,46,67,36,5
29,24,95,7,75,21,88,77,57,35,58,46,45,82,60,84,12,89,51,53
90,83,24,63,14,37,3,44,36,76,31,14,99,47,50,2,24,20,37,93
55,21,96,66,96,46,28,43,10,45,34,56,19,7,52,55,59,64,6,81
42,18,38,57,40,5,81,17,39,35,44,26,54,70,37,29,52,52,98,98
77,66,65,25,72,27,14,54,87,77,92,74,83,79,35,24,73,33,46,80
91,86,19,23,83,44,60,66,59,72,60,84,66,35,57,76,44,1,30,91
5,35,81,88,10,65,12,59,60,35,85,9,39,9,9,19,83,43,41,14
76,54,80,39,60,66,76,79,58,20,81,97,99,12,94,10,42,75,68,85
20,7,66,52,60,48,4,28,98,42,26,46,10,32,54,19,42,21,31,23
86,94,10,13,97,17,94,51,17,77,50,10,66,82,23,23,59,31,37,68
41,56,79,40,91,26,7,49,5,97,50,92,59,50,87,77,27,77,76,25
62,89,54,22,73,69,56,24,46,17,53,21,2,8,24,50,46,99,44,64
11,62,71,50,5,9,20,31,54,99,96,62,67,80,73,38,67,84,75,21
95,99,21,4,55,72,82,88,10,76,40,26,95,1,82,27,15,94,41,98
68,68,62,7,50,18,71,74,85,89,49,88,77,40,79,90,88,26,8,0
